country,country_code,year,tourism_receipts,tourism_arrivals,tourism_exports,tourism_departures,tourism_expenditures,gdp,inflation,unemployment
East Asia & Pacific (excluding high income),EAP,2002,,136489562.5,9.1910715,33183645.03,6.638493955,2.04458E+12,2.722772277,4.209523618
Early-demographic dividend,EAR,2002,69122529493,190886934.7,7.621406997,215405027,6.86608007,3.25502E+12,4.240266607,
East Asia & Pacific,EAS,2002,,194873220.6,5.554027822,146849553.8,7.038558726,7.91347E+12,1.885720002,4.299194096
Europe & Central Asia (excluding high income),ECA,2002,,69761846.86,,,,3.89839E+11,5.5878373,8.785067981
Europe & Central Asia,ECS,2002,2.4073E+11,723771886.8,6.838871907,457281193.3,7.750043903,1.1151E+13,2.786159886,8.643824256
Ecuador,ECU,2002,449000000,683000,7.310792666,627000,6.533890098,27054197000,12.48359801,
"Egypt, Arab Rep.",EGY,2002,4133000000,5192000,25.14311439,,6.709930081,85146067416,2.73723855,10.01
Euro area,EMU,2002,1.63448E+11,,7.156648575,227220660.5,7.746691253,7.24186E+12,2.326906836,8.697423264
Eritrea,ERI,2002,73000000,101000,,,,729321680.2,,
Spain,ESP,2002,,79313000,,,,7.08938E+11,3.065656859,11.146
Estonia,EST,2002,737000000,3253000,17.15708275,1849000,6.335503887,7370119619,3.571912702,10.026
Ethiopia,ETH,2002,261000000,156000,24.53076811,,2.704379173,7850809498,0.675089102,
European Union,EUU,2002,1.90823E+11,615268114.3,7.14026614,316687650.4,7.62302933,8.1004E+12,2.424436612,9.579990196
Fragile and conflict affected situations,FCS,2002,,16446497.16,3.114996113,,6.343217725,4.46928E+11,4.705791237,
Finland,FIN,2002,2238000000,2875000,4.104015304,,5.935979293,1.40361E+11,1.571220128,10.423
Fiji,FJI,2002,384000000,461000,39.12695996,99000,7.331597413,1833279985,0.762032086,
France,FRA,2002,41113000000,,9.819081507,,7.739752064,1.49243E+12,1.923412287,8.702
Faroe Islands,FRO,2002,,,,,,1275093689,,
"Micronesia, Fed. Sts.",FSM,2002,16799999.24,19100.00038,,,,242517200,-0.111442426,
Gabon,GAB,2002,77000000,269000,2.924294833,219000,13.88572841,5335451100,0.036682889,
United Kingdom,GBR,2002,,24180000,,59377000,,1.78573E+12,1.520402459,5.037
Georgia,GEO,2002,144000000,298000,14.51309412,317000,13.16234335,3395766678,5.5878373,12.59
Ghana,GHA,2002,383000000,483000,14.9022012,,5.528959839,6166197848,9.360932396,
Gibraltar,GIB,2002,,,,,,,,
Guinea,GIN,2002,,43000,,,3.898719476,4301608753,,4.549
"Gambia, The",GMB,2002,,81000,,,,578235309.3,8.609124744,
Guinea-Bissau,GNB,2002,,,,,11.86323284,466773711.2,3.300121753,
Equatorial Guinea,GNQ,2002,,,,,,1806742742,7.592478498,
Greece,GRC,2002,10012000000,14918000,33.36532017,,5.967785128,1.50254E+11,3.629358719,10.346
Grenada,GRD,2002,91000000,271000,47.57061048,,,540336925.9,1.06721548,
Greenland,GRL,2002,,,,,,1169136716,,8.82
Guatemala,GTM,2002,647000000,884000,16.32065293,629000,4.797974331,20444205991,8.132630543,
Guam,GUM,2002,,1059000,,,,3394000000,,11.39
Guyana,GUY,2002,53000000,104000,8.001207729,,6.199802734,726131434.7,5.341015214,11.81
High income,HIC,2002,3.95208E+11,879165850.6,6.636121404,638005764.7,7.088365458,2.90426E+13,2.074086136,7.280657162
"Hong Kong SAR, China",HKG,2002,9849000000,16566000,4.482758762,64540000,6.024081343,1.66349E+11,-2.983138781,7.28
Honduras,HND,2002,305000000,788000,11.38734044,,6.30512523,7858255413,7.69050972,4.02
Heavily indebted poor countries (HIPC),HPC,2002,3914190726,9043190.155,12.03798141,,6.770512808,1.90151E+11,3.895705258,
Croatia,HRV,2002,3952000000,41737000,40.10048716,,6.902219973,26757722429,1.671784374,15.053
Haiti,HTI,2002,108000000,482000,25.6471147,,13.75955969,6205847214,7.032874062,
Hungary,HUN,2002,3774000000,31739000,9.454543403,12966000,5.398779226,67608919144,5.265448216,5.608
IBRD only,IBD,2002,,461400702.6,8.332043788,316976995.4,6.518562835,6.0438E+12,4.150058617,6.646267173
IDA & IBRD total,IBT,2002,,504227902.4,8.332699108,406836756.1,6.465974684,6.59611E+12,3.895705258,
IDA total,IDA,2002,8725277586,26352150.78,8.343778565,,5.72004897,5.53E+11,3.822939958,
IDA blend,IDB,2002,2710213282,,5.612930878,,5.342120432,2.49561E+11,2.834422601,
Indonesia,IDN,2002,5797000000,5033000,8.806279835,3231000,9.567951823,1.95661E+11,11.90011757,6.604
IDA only,IDX,2002,6183840350,15034904.54,11.30799967,,5.964530271,3.03914E+11,4.178672399,
Isle of Man,IMN,2002,,,,,,1891002698,,0.5
India,IND,2002,3300000000,2384000,4.672944645,4940000,5.74321946,5.14939E+11,4.297152039,
Not classified,INX,2002,,,,,,,,
Ireland,IRL,2002,4228000000,6476000,,4634000,,1.28596E+11,4.628205128,4.216
"Iran, Islamic Rep.",IRN,2002,1607000000,1585000,,,,1.28627E+11,14.33593374,12.8
Iraq,IRQ,2002,,,,,,32928454672,19.3166946,
Iceland,ISL,2002,415000000,315000,12.48500886,,11.7394683,9318395055,5.197022302,2.988
Israel,ISR,2002,2426000000,862099.9756,6.170892516,3273000,7.75677083,1.25055E+11,5.772357724,12.888
Italy,ITA,2002,28213000000,63561000,9.05203188,44660000,6.497130513,1.28175E+12,2.465323192,9.211
Jamaica,JAM,2002,1482000000,2131000,46.00541386,,5.735823462,9719009495,7.076350093,14.191
Jordan,JOR,2002,1254000000,4677000,27.54719832,1276000,7.894971023,9582510578,1.83299389,15.3
Japan,JPN,2002,6069000000,5239000,1.328310232,16523000,8.63000517,4.18285E+12,-0.923494027,5.386
Kazakhstan,KAZ,2002,680000000,3678000,5.951949901,,7.453764888,24636598527,5.836924521,9.33
Kenya,KEN,2002,513000000,1001000,15.95314365,,,13147736899,1.961308217,
Kyrgyz Republic,KGZ,2002,48000000,183000,7.49886527,,3.758924172,1605643105,2.134209863,12.55
Cambodia,KHM,2002,509000000,787000,21.44069663,45000,2.33912628,4501227627,0.211466568,
Kiribati,KIR,2002,,119500,,,,74743892.16,,
St. Kitts and Nevis,KNA,2002,57000000,240000,26.24201168,,,481077373.7,2.041091026,
"Korea, Rep.",KOR,2002,7617000000,5347000,3.967619392,7123000,6.238010642,6.27247E+11,2.762262103,3.046
Kuwait,KWT,2002,320000000,2316000,1.880730237,1725000,24.44957622,38135788414,0.888450148,1.1
Latin America & Caribbean (excluding high income),LAC,2002,25516146462,128164683.1,7.082437957,144402340.5,5.268246608,1.75709E+12,5.223367698,9.308004446
Lao PDR,LAO,2002,110000000,736000,23.0705957,,0.903963582,1758176653,10.63134463,
Lebanon,LBN,2002,,956000,,,,19152238806,,
Liberia,LBR,2002,,,,,,927000000,14.15964701,
Libya,LBY,2002,202000000,858000,1.970347249,,7.305630027,20481889764,-9.797647059,
St. Lucia,LCA,2002,210000000,648000,63.60601671,,,900000000,-0.255536627,20.39
Latin America & Caribbean,LCN,2002,36976005879,152947999.4,7.473498832,148796394.3,5.464333878,2.05273E+12,3.950116637,9.783952616
Least developed countries: UN classification,LDC,2002,4102993819,9811415.87,8.768267446,,5.0179871,2.36414E+11,5.032822757,
Low income,LIC,2002,2170076022,5834485.609,,,,1.28765E+11,3.300121753,
Liechtenstein,LIE,2002,,48700.00076,,,,2688618747,,1.45
Sri Lanka,LKA,2002,594000000,457000,9.954000452,533000,6.187017434,16536535647,9.55103167,8.76
Lower middle income,LMC,2002,32732113019,64049459.33,9.517841504,,5.629462571,1.26422E+12,3.750174658,
Low & middle income,LMY,2002,,403924802.1,8.556444634,340879864.2,6.039346419,5.79828E+12,4.240266607,
Lesotho,LSO,2002,,287000,,,17.37958888,775777238.6,33.81257834,
Late-demographic dividend,LTE,2002,,272906962.6,8.828590525,134483833.4,7.294011738,3.74129E+12,2.801155052,5.629538101
Lithuania,LTU,2002,556000000,3999000,8.82116342,,4.724758572,14282292665,0.28150661,13.008
Luxembourg,LUX,2002,2497000000,885000,7.986208385,1049000,7.784556313,23649833332,2.074086136,2.621
Latvia,LVA,2002,201000000,2297000,6.91538965,2306000,7.26284862,9249030241,1.938875739,13.829
"Macao SAR, China",MAC,2002,4428000000,11531000,64.40627996,,11.74838524,7371692774,-2.637516998,6.267
St. Martin (French part),MAF,2002,,,,,,,,
Morocco,MAR,2002,3157000000,4709000,30.00201058,1533000,5.748636674,47077192188,2.795619669,11.59
Monaco,MCO,2002,,263000,,,,2919647982,,
Moldova,MDA,2002,72000000,18000,9.535034631,,9.290432559,1661818168,5.301243903,6.845
Madagascar,MDG,2002,109000000,,10.03985408,,11.99513995,5351701663,16.49852553,
Maldives,MDV,2002,,485000,,43000,13.16187173,897031250,4.178672399,
Middle East & North Africa,MEA,2002,,,,,10.61541651,9.82254E+11,1.83299389,12.89470969
Mexico,MEX,2002,9547000000,100153000,5.398388405,124633000,3.748875284,8.10666E+11,5.030727332,3.003
Marshall Islands,MHL,2002,3400000.095,6000,,,,131960000,,
Middle income,MIC,2002,,394155191.5,8.53397601,318157017.9,6.042312919,5.67124E+12,4.268709323,
North Macedonia,MKD,2002,55000000,123000,5.582984235,,3.309747239,4018365747,2.314597941,31.94
Mali,MLI,2002,105000000,96000,10.0051219,,5.612544585,3908121307,5.032822757,
Malta,MLT,2002,757000000,1483000,21.10083727,,5.173996377,4455128823,2.188490481,6.902
Myanmar,MMR,2002,136000000,487000,5.614265298,,1.778018378,6777632512,57.07451126,
Middle East & North Africa (excluding high income),MNA,2002,20309885241,29063175.72,20.40909762,,6.437711588,4.63163E+11,2.729135699,13.69623981
Montenegro,MNE,2002,,136000,,,,1284685051,,
Mongolia,MNG,2002,143000000,235000,20.1839489,,13.20418971,1396555720,0.917074687,6.2
Northern Mariana Islands,MNP,2002,,476000,,,,1284000000,,
Mozambique,MOZ,2002,65000000,943000,,,,5950769427,,
Mauritania,MRT,2002,,,,,,1777057481,3.895705258,
Mauritius,MUS,2002,829000000,709000,28.10154264,162000,7.949267936,4906494249,6.419333722,8.205
Malawi,MWI,2002,45000000,383000,9.536705303,,10.81581197,5087328438,14.74463461,
Malaysia,MYS,2002,8084000000,13292000,7.468982371,29866000,3.63263272,1.00846E+11,1.807872463,3.48
North America,NAC,2002,1.26481E+11,109814000,8.543207746,106504719.5,5.58166361,1.16937E+13,1.922213018,5.976790857
Namibia,NAM,2002,244000000,799000,18.24421726,,,3349169826,,
New Caledonia,NCL,2002,,104000,,72000,,3740056748,,
Niger,NER,2002,20200000.76,39000,6.092453112,,5.51439845,2782192879,2.628865979,
Nigeria,NGA,2002,256000000,2046000,1.411444708,,5.760421628,95054059303,12.8765792,
Nicaragua,NIC,2002,,579000,,532000,6.335850778,5223727303,3.750174658,
Netherlands,NLD,2002,11745000000,9595000,4.511315361,16719000,5.848231886,4.7553E+11,3.287531047,2.554
Norway,NOR,2002,2581000000,3111000,3.265324305,2629000,10.5380672,1.95915E+11,1.286725284,4.022
Nepal,NPL,2002,134000000,275000,14.29726986,238000,6.497535523,6050875807,3.029399487,
Nauru,NRU,2002,,,,,,21017423.61,,22.76
New Zealand,NZL,2002,3159000000,2045000,15.12272657,1293000,7.208719714,66627729311,2.677092577,5.282
OECD members,OED,2002,3.78218E+11,845244937.7,6.741823052,662519504.1,6.848113312,2.86186E+13,2.477360679,7.143590968
Oman,OMN,2002,539000000,1112000,4.57697659,,9.343314064,23065539662,-0.279578823,
Other small states,OSS,2002,,23251643.31,19.59596168,,9.480631813,61653471005,2.801155052,
Pakistan,PAK,2002,562000000,498000,4.622470801,,3.907369091,97923302809,3.290344726,7.83
Panama,PAN,2002,710000000,800000,9.351210389,200000,3.291020216,12800851300,1.005830904,14.11
Peru,PER,2002,836000000,,9.389052004,1232000,8.416291444,54777553515,0.193135004,4.84
Philippines,PHL,2002,2018000000,1933000,7.461913918,1969000,5.41994447,84307345888,2.722772277,
Palau,PLW,2002,,59000,,,,162665500,-1.301236174,
Papua New Guinea,PNG,2002,,,,92000,,2999511040,11.7994471,
Poland,POL,2002,4971000000,50735000,8.754997446,45043000,5.438477226,1.99694E+11,1.90528215,20.211
Pre-demographic dividend,PRE,2002,3432496670,9597982.873,5.572562246,,5.636357936,3.09411E+11,4.378759718,
Puerto Rico,PRI,2002,2486000000,4364000,,1227000,,71623500000,,11.94
"Korea, Dem. People's Rep.",PRK,2002,,,,,,,,
Portugal,PRT,2002,6643000000,11644000,18.11263719,,5.547582817,1.34796E+11,3.600346583,4.497
Paraguay,PRY,2002,76000000,3194000,2.214555527,141000,5.021750187,7196260657,10.51024209,9.393
West Bank and Gaza,PSE,2002,14000000,33000,2.930096275,,16.6991714,3555800000,5.70951586,27.465
Pacific island small states,PSS,2002,573066767.7,,39.90681266,,7.621297516,3556381490,1.963567542,
Post-demographic dividend,PST,2002,3.68941E+11,745620332.4,6.675579706,567795804.7,6.901543876,2.72851E+13,1.998749211,6.630291439
French Polynesia,PYF,2002,471000000,,50.92907529,,15.96821521,3965405553,,11.71
Qatar,QAT,2002,,,,,,19363736264,0.24,
Romania,ROU,2002,400000000,4794000,2.547283958,5757000,2.447418738,46065502703,22.53988626,8.112
Russian Federation,RUS,2002,5278000000,23309000,4.50397981,20428000,13.79258439,3.4547E+11,15.78873079,7.875
Rwanda,RWA,2002,,,,,,1966003468,1.992585425,0.89
South Asia,SAS,2002,,4527657.859,4.814274281,7919088.552,5.398372674,6.95456E+11,3.332564933,
Saudi Arabia,SAU,2002,,,,,14.85767277,1.89606E+11,0.247186514,5.265
Sudan,SDN,2002,108000000,52000,5.189114391,,2.924155128,18137128388,22.22472415,
Senegal,SEN,2002,210000000,,13.74376422,,5.368959781,7006402320,2.337301875,5.65
Singapore,SGP,2002,4458000000,7567000,2.616960976,4399000,5.356853612,92538372870,-0.391676867,5.65
Solomon Islands,SLB,2002,800000.0119,,1.61831893,,7.219458211,346406738.9,10.92963419,
Sierra Leone,SLE,2002,38000000,,38.70618152,27000,11.64716849,1933864034,,
El Salvador,SLV,2002,521000000,885000,20.67050188,1001000,5.751164827,12664190300,1.865525036,6.2
San Marino,SMR,2002,,3102000,,,,1148872072,,
Somalia,SOM,2002,,,,,,2192684135,,
Serbia,SRB,2002,77000000,312000,,,,17930583571,19.49083216,13.8
Sub-Saharan Africa (excluding high income),SSA,2002,9514753152,22023890.38,8.742642233,,6.518177859,4.46064E+11,5.032822757,
South Sudan,SSD,2002,,,,,,,,
Sub-Saharan Africa,SSF,2002,9778100649,22162330.26,8.945734108,,6.533837066,4.46811E+11,4.705791237,
Small states,SST,2002,,36594901.98,24.96532447,,9.569025675,83902231734,2.188490481,
Sao Tome and Principe,STP,2002,6900000,9199.999809,46.7117073,,4.455557979,85171073.88,10.12872467,17.63
Suriname,SUR,2002,17000000,,,,,1093574468,15.52739892,
Slovak Republic,SVK,2002,742000000,,5.679373991,,3.425958274,35243658399,3.12714223,18.541
Slovenia,SVN,2002,1152000000,1302000,9.043308972,,5.216606062,23214593516,7.480777707,5.922
Sweden,SWE,2002,5671000000,4276000,5.30873619,,9.112848101,2.67373E+11,2.158482136,4.965
Eswatini,SWZ,2002,45000000,1371000,3.877167876,,,1432221739,12.01971547,
Sint Maarten (Dutch part),SXM,2002,,1436000,,,,,,
Seychelles,SYC,2002,247000000,135000,44.90966557,53000,8.880176194,742134837.5,0.175,9.81
Syrian Arab Republic,SYR,2002,,4678000,,3299000,,20669357462,-0.130505282,11.68
Turks and Caicos Islands,TCA,2002,292000000,,,,,366707900,,6.18
Chad,TCD,2002,25000000,32000,,,,1997005709,5.191818952,
East Asia & Pacific (IDA & IBRD countries),TEA,2002,,134842642,9.1910715,32773176.55,6.638493955,2.0422E+12,2.34316991,4.209523618
Europe & Central Asia (IDA & IBRD countries),TEC,2002,,163685842,7.428021288,116180036,8.426183173,1.02413E+12,5.698990479,9.658635755
Togo,TGO,2002,16000000,58000,3.096787331,,3.575624242,2410199032,3.059818575,
Thailand,THA,2002,10388000000,10873000,12.75496862,2250000,5.27339269,1.34301E+11,0.697308977,
Tajikistan,TJK,2002,5000000,,0.650925382,,,1221106220,12.24998478,2.5
Turkmenistan,TKM,2002,,,,79000,,4462029109,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,2002,26649066562,133102339.9,6.89817197,147227984,5.395449345,1.92728E+12,4.240266607,9.914986364
Timor-Leste,TLS,2002,,,,,,469455500,,
Middle East & North Africa (IDA & IBRD countries),TMN,2002,20322226453,29054552.85,20.57139018,,6.036299581,4.59607E+11,2.721032849,13.58255866
Tonga,TON,2002,,45000,,,,182764260.1,10.35906079,
South Asia (IDA & IBRD),TSA,2002,,4386891.801,4.814274281,7801927.15,5.398372674,6.95456E+11,3.332564933,
Sub-Saharan Africa (IDA & IBRD countries),TSS,2002,9778100649,22162330.26,8.945734108,,6.533837066,4.46811E+11,4.705791237,
Trinidad and Tobago,TTO,2002,402000000,451000,8.840605208,,5.141515264,9008298229,4.150058617,10.39
Tunisia,TUN,2002,1831000000,5064000,19.34165787,1939000,2.92494025,23141616605,2.721032849,14.55
Turkiye,TUR,2002,,13256000,,5131000,,2.40249E+11,44.96412095,10.358
Tuvalu,TUV,2002,,1299.999952,,2700.000048,21.27314433,16842672.6,,6.53
Tanzania,TZA,2002,639000000,575000,33.63689575,,16.83878388,14129651896,5.317833661,3.6
Uganda,UGA,2002,194000000,254000,27.60175399,184000,,6178563591,-0.287508512,3.5
Ukraine,UKR,2002,1001000000,12793000,4.544422754,,3.937906066,43956163612,0.757420846,10.136
Upper middle income,UMC,2002,,323043770.1,8.304179694,221251780.1,6.159477532,4.40697E+12,5.301243903,6.188788443
Uruguay,URY,2002,409000000,1354000,15.18528995,530000,9.751751356,13606515723,13.97247259,16.648
United States,USA,2002,97415000000,64434000,9.878865627,80883000,5.641470015,1.09291E+13,1.586031627,5.783
Uzbekistan,UZB,2002,68000000,332000,,264000,,9687788513,,0.4
St. Vincent and the Grenadines,VCT,2002,,247000,,,,487763851.9,1.85550399,
"Venezuela, RB",VEN,2002,484000000,590000,1.741383032,881000,8.945723875,92893587734,,16.17
British Virgin Islands,VGB,2002,345000000,282000,,,,,,
Virgin Islands (U.S.),VIR,2002,1195000000,2337000,,,,3262000000,,
Viet Nam,VNM,2002,,2628000,,,,35064105501,3.830828382,2.12
Vanuatu,VUT,2002,72000000,99000,63.26210395,11000,8.461206551,262596535.5,1.963567542,
World,WLD,2002,5.95909E+11,1319581840,6.9525768,1127808612,6.917210616,3.49402E+13,2.90799857,
Samoa,WSM,2002,,,,53000,,281790134.2,8.050314465,
Kosovo,XKX,2002,,,,,,,,55
"Yemen, Rep.",YEM,2002,,,,,,10693430511,12.23853394,
South Africa,ZAF,2002,3695000000,6550000,10.01833238,,6.921887208,1.29088E+11,9.494710703,27.18
Zambia,ZMB,2002,,565000,,,6.904021434,4193850445,22.23334464,
Zimbabwe,ZWE,2002,76000000,2041000,,,,6342116400,,
Aruba,ABW,2003,858099975.6,1184000,48.58619013,,11.89598849,2044111732,3.656365079,
Africa Eastern and Southern,AFE,2003,12204601548,17844385.28,13.60072412,,7.122378261,3.55716E+11,7.44970014,
Afghanistan,AFG,2003,,,,,,4520946819,,
Africa Western and Central,AFW,2003,2094376181,5013049.71,3.747060209,,8.243790279,2.07755E+11,1.760904101,
Angola,AGO,2003,63000000,107000,0.648865067,,0.556738775,17812704586,98.22414366,
Albania,ALB,2003,537000000,557000,63.41740743,1350000,22.37490048,5611496257,0.484002612,15
Andorra,AND,2003,,11601000,,,,2366941809,,
Arab World,ARB,2003,29586477672,,11.08962446,,10.14539597,8.30076E+11,2.712592475,
United Arab Emirates,ARE,2003,1438000000,,,,,1.24346E+11,,
Argentina,ARG,2003,2306000000,2995000,6.715981269,,16.0057593,1.27587E+11,,15.36
Armenia,ARM,2003,90000000,206000,9.167383824,169000,6.341243109,2807061009,4.721553366,
American Samoa,ASM,2003,,,,,,524000000,,
Antigua and Barbuda,ATG,2003,,623000,,,,947955555.6,1.993530552,
Australia,AUS,2003,14981000000,4746000,15.92222649,3388000,9.616122654,4.67739E+11,2.732595966,5.933
Austria,AUT,2003,15128000000,19078000,,8384000,,2.6078E+11,1.355553709,4.779
Azerbaijan,AZE,2003,70000000,1038000,2.303944221,1475000,2.525652208,7276413079,2.23386493,9.17
Burundi,BDI,2003,1200000.048,74000,2.676456698,,,784654423.6,10.64746457,
Belgium,BEL,2003,8848000000,6690000,4.048872833,7268000,6.448522741,3.18083E+11,1.588964,7.68
Benin,BEN,2003,107900001.5,850000,15.095914,,4.92987711,5349258094,1.487242461,
Burkina Faso,BFA,2003,38000000,163000,,,,4740768143,2.034565741,2.78
Bangladesh,BGD,2003,59000000,245000,0.744172998,1414000,3.514027891,60158929188,5.668707734,4.32
Bulgaria,BGR,2003,2051000000,6241000,20.46012158,3403000,12.13802787,21144957990,2.348641696,13.733
Bahrain,BHR,2003,1206000000,4844000,15.11152812,,7.929012366,11074813830,1.593625498,
"Bahamas, The",BHS,2003,1770000000,4594000,71.33673761,,14.17056591,8870090000,3.025045263,10.84
Bosnia and Herzegovina,BIH,2003,404000000,165000,18.37624642,,2.408464918,8498894359,,
Belarus,BLR,2003,339000000,1729000,3.115379314,6518000,3.767096657,17825444724,28.39783991,3.1
Belize,BLZ,2003,,999000,,,7.67534854,1308900000,2.318082747,
Bermuda,BMU,2003,,483000,,141000,,4186525000,,
Bolivia,BOL,2003,243000000,427000,12.39034143,304000,9.618610733,8082399640,3.337274997,
Brazil,BRA,2003,2673000000,4133000,3.241512531,3229000,4.421546227,5.58234E+11,14.71491972,11.169
Barbados,BRB,2003,840000000,1090000,57.64563872,,9.752747301,3209500000,1.619433198,11
Brunei Darussalam,BRN,2003,124000000,944000,2.5512787,,20.46494718,7167725265,0.3,
Bhutan,BTN,2003,8000000,6300.000191,,,,651935430.3,2.572308617,1.8
Botswana,BWA,2003,459000000,1592000,12.51572662,,8.665447376,7511582173,9.189902656,23.8
Central African Republic,CAF,2003,4000000,5699.999809,,6000,,1142315523,4.134709052,
Canada,CAN,2003,12236000000,38903000,3.717524742,,5.527164582,8.95541E+11,2.758563214,7.574
Central Europe and the Baltics,CEB,2003,26063762063,177955845.4,9.958817218,88685258.06,4.740250497,6.34386E+11,2.348641696,13.18687296
Switzerland,CHE,2003,10427000000,6530000,6.048878366,17548000,5.941667533,3.62075E+11,0.638272931,4.117
Channel Islands,CHI,2003,,,,,,7332244898,,
Chile,CHL,2003,1309000000,,4.927395294,1509000,4.803136446,76492579644,2.810178757,9.765
China,CHN,2003,18707000000,91662000,4.194618398,20222000,4.075531654,1.66028E+12,1.127603487,4.3
Cote d'Ivoire,CIV,2003,76000000,,,,,21251754340,3.29680747,
Cameroon,CMR,2003,266000000,,8.484668013,,7.896997445,15970315035,0.623163557,
"Congo, Dem. Rep.",COD,2003,,35000,,,,8937567060,12.87396572,
"Congo, Rep.",COG,2003,30000000,,1.057435132,,6.898668846,3503723088,-0.631844987,
Colombia,COL,2003,1191000000,668000,7.572536137,1177000,8.048628657,94644969157,7.129788629,13.221
Comoros,COM,2003,15600000.38,20600.00038,25.93478862,,7.788666391,546885222.7,3.799081367,
Cabo Verde,CPV,2003,135000000,150000,54.92314514,,16.4788212,813260468.9,1.188170386,
Costa Rica,CRI,2003,1573000000,1514000,22.27047945,373000,6.587992176,17271760507,9.447580916,6.654
Caribbean small states,CSS,2003,5675313179,12223187.43,55.84730915,,11.0425312,19254397502,2.154928099,
Cuba,CUB,2003,1999000000,1906000,,113000,,35901200000,,2.33
Curacao,CUW,2003,223000000,508000,,,,2202117374,1.633713914,
Cayman Islands,CYM,2003,518000000,2113000,,,,,,3.61
Cyprus,CYP,2003,2325000000,2416000,36.92339928,737000,11.03769251,14547329558,4.139065387,4.153
Czechia,CZE,2003,4069000000,20108000,8.704104049,7213000,4.461304788,1.00436E+11,0.118739206,7.777
Germany,DEU,2003,30129000000,18399000,3.790036437,85345000,10.36655414,2.53472E+12,1.034222186,9.779
Djibouti,DJI,2003,6900000,23200.00076,2.727297778,,3.243382735,622044665.5,1.981967346,
Dominica,DMA,2003,52000000,254000,28.78884245,,,343311111.1,1.453368004,
Denmark,DNK,2003,5271000000,21119000,5.478666607,5564000,8.013817988,2.18421E+11,2.075078206,5.398
Dominican Republic,DOM,2003,3128000000,3680000,48.80865074,321000,6.460500689,21403167848,27.44971274,6.938
Algeria,DZA,2003,,1166000,,1254000,,73482264191,4.268953958,23.72
East Asia & Pacific (excluding high income),EAP,2003,,125706247.6,5.685688412,36835527.58,4.328570478,2.31425E+12,3.703697975,4.313390821
Early-demographic dividend,EAR,2003,77499102883,186159242.8,7.2504075,216755688.1,6.175019361,3.62167E+12,5.452932243,
East Asia & Pacific,EAS,2003,,180513147.2,4.586958223,144565260.1,5.766486935,8.70321E+12,2.289156627,4.380277316
Europe & Central Asia (excluding high income),ECA,2003,,73537448.52,,,,4.97108E+11,4.950615593,8.604980868
Europe & Central Asia,ECS,2003,2.79224E+11,736933750.1,6.593161318,467949386.2,7.657541793,1.35593E+13,2.348641696,8.728892132
Ecuador,ECU,2003,408000000,761000,5.5684615,613000,6.257191757,30965208000,7.929364875,5.662
"Egypt, Arab Rep.",EGY,2003,4704000000,6044000,23.44930036,,7.45076898,80288461538,4.507776363,10.91
Euro area,EMU,2003,1.89115E+11,,6.980727097,237311634.4,7.726610982,8.92123E+12,2.095235291,9.029925522
Eritrea,ERI,2003,74000000,80000,,,,870248267.6,,
Spain,ESP,2003,,82326000,,,,9.07963E+11,3.038888394,11.283
Estonia,EST,2003,883000000,3378000,15.57414948,2075000,6.209409394,9876595528,1.334991165,11.288
Ethiopia,ETH,2003,336000000,180000,26.70638265,,2.419628329,8623691300,13.6740452,
European Union,EUU,2003,2.21855E+11,625662233.1,6.896923399,322010732.5,7.520726501,9.95696E+12,2.09199839,9.707042053
Fragile and conflict affected situations,FCS,2003,11051089610,17350162.91,8.032375523,,9.325118074,4.70618E+11,5.488253634,
Finland,FIN,2003,2679000000,2601000,4.234486283,,5.797839792,1.71613E+11,0.877440386,10.469
Fiji,FJI,2003,496000000,451000,38.43449205,104000,6.069372227,2300492465,4.172747778,8.22
France,FRA,2003,46576000000,,9.591224824,,7.757684296,1.8351E+12,2.098472191,8.307
Faroe Islands,FRO,2003,,,,,,1501941581,,3.85
"Micronesia, Fed. Sts.",FSM,2003,16700000.76,18200.00076,,,,245432900,0.126643348,
Gabon,GAB,2003,84000000,234000,2.511705645,236000,12.7409096,6511903365,2.235353136,
United Kingdom,GBR,2003,,24715000,,61424000,,2.05442E+12,1.376500385,4.807
Georgia,GEO,2003,172000000,313000,13.73801038,,9.313628319,3991377904,0.837734532,11.51
Ghana,GHA,2003,441000000,531000,13.81334056,,5.198795823,7632723556,29.77297972,
Gibraltar,GIB,2003,,,,,,,,
Guinea,GIN,2003,,44000,,,3.894269834,5025167975,,
"Gambia, The",GMB,2003,58000000,89000,43.05691755,,4.978014481,487038685,17.03286654,
Guinea-Bissau,GNB,2003,2400000.095,,3.379972397,,20.98302695,553614800.1,-3.502585511,
Equatorial Guinea,GNQ,2003,,,,,,2484745935,7.323543994,
Greece,GRC,2003,10852000000,14785000,29.43107789,,4.93596501,1.96931E+11,3.530650278,9.839
Grenada,GRD,2003,104000000,294000,49.397255,,,591018407.4,2.154928099,
Greenland,GRL,2003,,,,,,1558759823,,10.3
Guatemala,GTM,2003,646000000,880000,15.68469024,658000,5.108298724,21576351799,5.603476754,2.807
Guam,GUM,2003,,910000,,,,3569000000,,
Guyana,GUY,2003,28000000,101000,4.21179302,,4.301691999,743063950.3,5.980978141,
High income,HIC,2003,4.32841E+11,871624379.2,6.265311478,627229194.3,6.822115561,3.26029E+13,2.055663298,7.403047034
